Catégorie;Terme interdit;Justification
Données sensibles (article 9 RGPD);Handicap;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);autisme;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);malvoyant;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);invalidité;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);maladie;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);cancer;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);VIH;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);dépression;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);burn-out;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);grossesse;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);fumeur;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);alcoolique;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);obèse;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);allergie sévère;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);antécédents médicaux;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);traitement lourd;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);psychiatrie;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);bipolaire;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);suivi psychologique;Données de santé (art. 9 RGPD)
Données sensibles (article 9 RGPD);Musulman;Convictions religieuses
Données sensibles (article 9 RGPD);catholique;Convictions religieuses
Données sensibles (article 9 RGPD);juif;Convictions religieuses
Données sensibles (article 9 RGPD);athée;Convictions religieuses
Données sensibles (article 9 RGPD);protestant;Convictions religieuses
Données sensibles (article 9 RGPD);Syndiqué;Opinions syndicales et/ou politiques
Données sensibles (article 9 RGPD);représentant du personnel;Opinions syndicales et/ou politiques
Données sensibles (article 9 RGPD);parti politique;Opinions syndicales et/ou politiques
Données sensibles (article 9 RGPD);militantisme;Opinions syndicales et/ou politiques
Données sensibles (article 9 RGPD);LGBT;Données sur l’orientation sexuelle
Données sensibles (article 9 RGPD);homosexuel;Données sur l’orientation sexuelle
Données sensibles (article 9 RGPD);transgenre;Données sur l’orientation sexuelle
