name,rows,columns,path
test_cases,30,4,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\test_cases.csv
referentials,5,2,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\referentials.csv
case_summary,30,18,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\case_summary.csv
results_all,55,26,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\results_all.csv
alerts,53,26,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\alerts.csv
whitelist_ignored,4,26,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\whitelist_ignored.csv
comparison,48,11,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\comparison.csv
count_pivot,28,9,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\count_pivot.csv
score_view,53,15,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\score_view.csv
branch_errors,0,2,E:\workspace\TestPresentationNLP\outputs\comparaison_branches\branch_errors.csv
